X,Y,OBJECTID,NoticeNum,DateNotice,DateCancel,DateAbate,NT,OWNER_ABBR,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1411085.64831664,598283.537280232,723233,1148404A,2014/09/25 12:23:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 037,1807 N PULASKI ST
1411084.32285997,598311.485058978,723235,240605A,2007/09/04 17:19:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 039,1811 N PULASKI ST
1411083.66013163,598325.407603309,723236,691668A,2011/07/28 11:55:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 040,1813 N PULASKI ST
1411081.70836389,598366.634883061,723239,129767A,2006/04/18 15:07:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 043,1819 N PULASKI ST
1411081.04990064,598380.55513081,723240,1812243A,2019/07/05 16:18:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 044,1821 N PULASKI ST
1411080.41440322,598393.964880899,723241,2262655A,2023/06/29 21:08:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 045,1823 N PULASKI ST
1411079.51184598,598408.443854555,723242,278795A,2007/12/19 10:54:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0001 046,1825 N PULASKI ST
1411828.68357597,598292.043824896,723245,699352A,2011/05/10 11:40:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 002,1802 N MONROE ST
1411823.46377014,598399.18337439,723253,247455A,2007/09/28 11:49:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 010,1818 N MONROE ST
1411822.82007064,598412.709594056,723254,1357930A,2016/02/29 10:56:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 011,1820 N MONROE ST
1411822.17144988,598426.011732817,723255,1661999A,2018/05/04 09:12:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 012,1822 N MONROE ST
1411821.51790789,598439.425419897,723256,934059A,2013/02/22 09:12:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 013,1824 N MONROE ST
1411853.37184681,598514.51450856,723258,1888687A,2020/03/23 09:14:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 015,1901 W NORTH AVE
1411810.59765413,598511.586692899,723261,433075A,2009/05/13 16:15:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 018,1907 W NORTH AVE
1411759.84414671,598508.072920397,723264,1788036A,2019/05/06 16:22:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 021,1913 W NORTH AVE
1411740.19228314,598506.706453308,723265,648682A,2010/12/14 13:50:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 023,1917 W NORTH AVE
1411726.93837264,598505.774696648,723266,1504911A,2017/02/23 12:28:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 024,1919 W NORTH AVE
1411713.31438413,598506.753041148,723267,1539686A,2017/05/30 11:27:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 025,1921 W NORTH AVE
1411699.96434522,598503.795369893,723268,1773353A,2019/03/26 08:33:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 026,1923 W NORTH AVE
1411685.63104056,598502.294716731,723269,1826482A,2019/08/09 12:04:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 027,1925 W NORTH AVE
1411597.85201664,598496.817693561,723271,1722166A,2018/09/13 10:53:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 029,1931 W NORTH AVE
1411583.63321306,598495.83114697,723272,1412889A,2016/07/01 13:18:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 030,1933 W NORTH AVE
1411569.48855631,598494.833445564,723273,1796433A,2019/05/28 08:38:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 031,1935 W NORTH AVE
1411555.8448828,598493.892502561,723274,41985A,2005/02/08 00:00:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 032,1937 W NORTH AVE
1411527.73732747,598491.94467181,723276,1432584A,2016/08/15 16:59:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 034,1941 W NORTH AVE
1411513.71504581,598490.965014979,723277,427164A,2009/05/01 12:09:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 035,1943 W NORTH AVE
1411499.88009971,598490.005371228,723278,1050007A,2014/02/28 12:32:00+00,,,Vacant,MCC,I,7,EASTERWOOD                               ,0002 036,1945 W NORTH AVE
1411485.94246355,598489.033916473,723279,1150274A,2015/01/14 14:54:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 037,1947 W NORTH AVE
1411472.23481381,598488.082146734,723280,1128154A,2014/08/08 14:14:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 038,1949 W NORTH AVE
1411483.57107723,598400.971756637,723285,139723A,2006/06/12 14:16:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 043,1821 N PAYSON ST
1411483.16655047,598386.95538047,723286,1069990A,2014/04/04 14:41:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 044,1819 N PAYSON ST
1411485.8666763,598373.163741395,723287,1659442A,2018/04/28 19:03:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 045,1817 N PAYSON ST
1411487.37389113,598318.391541228,723291,588131A,2010/06/22 08:25:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 049,1809 N PAYSON ST
1411585.77395681,598306.397142649,723299,2218782A,2023/03/20 09:47:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 057,1806 APPLETON ST
1411585.17126772,598319.258337393,723300,2104934A,2022/05/06 11:51:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 058,1808 APPLETON ST
1411584.55217446,598332.057196304,723301,1740786A,2018/11/01 15:08:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 059,1810 APPLETON ST
1411581.50263989,598396.450440228,723306,80139A,2005/08/16 15:20:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 064,1820 APPLETON ST
1411724.10504498,598432.749252141,723311,1646741A,2018/03/09 08:12:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0002 069,1825 APPLETON ST
1412299.62554747,598301.60515748,723324,1372747A,2016/04/08 15:44:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 001,1800 N FULTON AVE
1412298.27450031,598316.883014053,723325,2052524A,2021/10/22 19:42:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 002,1802 N FULTON AVE
1412297.55370122,598332.113298565,723326,1748111A,2018/12/09 09:32:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 003,1804 N FULTON AVE
1412297.13670731,598346.964974895,723327,2241572A,2023/05/11 22:39:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 004,1806 N FULTON AVE
1412294.75810313,598361.735942721,723328,1506669A,2017/03/01 12:07:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 005,1808 N FULTON AVE
1412251.97045906,598402.09019272,723331,2225477A,2023/04/03 15:51:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 008,1814 N FULTON AVE
1412244.72965989,598431.172811732,723333,2052641A,2021/10/22 20:04:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 010,1818 N FULTON AVE
1412246.41994523,598446.080918387,723334,190102A,2007/04/10 16:31:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 011,1820 N FULTON AVE
1412244.54626131,598460.556283146,723335,490652A,2009/09/17 16:11:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 012,1822 N FULTON AVE
1412289.40542355,598491.981417149,723337,825194A,2012/04/24 16:20:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 014,1826 N FULTON AVE
1412283.6406713,598549.640094474,723341,1962352A,2021/01/08 12:42:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 018,1807 W NORTH AVE
1412269.36018805,598548.759190723,723342,751047A,2011/08/18 15:21:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 019,1809 W NORTH AVE
1412255.10135831,598547.819888145,723343,2223845A,2023/03/31 19:04:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 020,1811 W NORTH AVE
1412240.81431338,598547.329403564,723344,2052522A,2021/10/22 19:39:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 021,1813 W NORTH AVE
1412226.98494472,598546.877632812,723345,1989804A,2021/04/28 16:14:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 022,1815 W NORTH AVE
1412184.15596214,598544.487545729,723348,2052529A,2021/10/22 19:54:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 025,1821 W NORTH AVE
1412155.59433948,598543.048572227,723350,1495782A,2017/01/24 11:09:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 027,1825 W NORTH AVE
1412122.10982639,598533.203119472,723351,691551A,2011/04/08 16:52:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 028,1827 W NORTH AVE
1412093.09446447,598530.575171977,723353,681387A,2011/03/09 10:10:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 030,1831 W NORTH AVE
1412078.82251139,598530.532849222,723354,971332A,2013/05/24 16:45:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 031,1833 W NORTH AVE
1412064.38257964,598528.51480864,723355,80150A,2005/08/16 15:20:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 032,1835 W NORTH AVE
1412050.5112163,598527.80975756,723356,805042A,2012/01/25 15:48:00+00,,,Vacant,MCC,I,7,SANDTOWN-WINCHESTER                      ,0003 033,1837 W NORTH AVE
1411963.65443464,598519.240220889,723362,2222991A,2023/03/25 21:03:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 039,1849 W NORTH AVE
1411948.38248356,598519.0610874,723363,169966A,2006/11/30 12:17:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 040,1851 W NORTH AVE
1411933.76932381,598518.344553396,723364,485120A,2009/09/08 16:40:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 041,1853 W NORTH AVE
1411974.6550688,598459.035288811,723365,1245120A,2015/06/04 17:40:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 042,1827 N MONROE ST
1411975.09174772,598430.878192887,723367,2218815A,2023/03/31 19:17:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 044,1823 N MONROE ST
1411976.46838538,598417.100005224,723368,837319A,2012/05/15 10:54:00+00,,,Vacant,MCC,I,7,SANDTOWN-WINCHESTER                      ,0003 045,1821 N MONROE ST
1411977.84994431,598388.876636475,723370,30886A,2004/11/11 00:00:00+00,,,Vacant,MCC,I,7,SANDTOWN-WINCHESTER                      ,0003 047,1817 N MONROE ST
1411975.49627447,598374.60599573,723371,1751148A,2018/12/24 10:40:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 048,1813 N MONROE ST
1411976.82205921,598303.934221059,723376,1852346A,2019/10/18 14:06:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 053,1803 N MONROE ST
1412034.20317805,598328.421376809,723378,1797290A,2019/05/30 09:15:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 055,1838 WESTWOOD AVE
1412075.7040793,598332.335739061,723381,1776159A,2019/04/05 10:25:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 058,1832 WESTWOOD AVE
1412208.09784339,598301.344987392,723386,2225483A,2023/04/03 15:52:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0003 063,1801 MCKEAN AVE
1412514.47419913,598416.31457372,723400,1046996A,2013/12/20 16:49:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 008,1815 N FULTON AVE
1412511.63562214,598460.544472143,723403,1040120A,2013/12/13 16:34:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 011,1821 N FULTON AVE
1412510.92072855,598474.997527227,723404,1064384A,2014/03/17 16:21:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 012,1823 N FULTON AVE
1412512.77571172,598490.018494561,723405,2052638A,2021/10/22 20:02:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 013,1825 N FULTON AVE
1412515.37085089,598564.51408048,723412,1597264A,2017/10/23 11:00:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 020,1731 W NORTH AVE
1412529.87344655,598565.727988809,723413,2221960A,2023/04/12 15:03:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 021,1729 W NORTH AVE
1412573.46620713,598568.268009976,723416,1972168A,2021/02/23 13:09:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 024,1723 W NORTH AVE
1412621.38179372,598571.121022642,723418,161225A,2006/09/28 11:52:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 026,1719 W NORTH AVE
1412649.73311497,598572.4960199,723420,1075417A,2014/04/17 16:09:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 028,1715 W NORTH AVE
1412677.93811105,598574.06491439,723422,829054A,2012/04/19 15:34:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 030,1711 W NORTH AVE
1412734.40978289,598578.949747145,723426,1515320A,2017/03/31 15:10:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 034,1703 W NORTH AVE
1412680.60280389,598504.293400392,723429,294664A,2008/02/26 17:19:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0004 037,1826 N MOUNT ST
1413091.89036714,598600.866369978,723454,1063532A,2014/03/13 16:44:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 003,1645 W NORTH AVE
1413064.0938348,598598.414931312,723456,1772258A,2019/03/19 10:52:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 005,1649 W NORTH AVE
1413035.15754098,598598.594392896,723458,258203A,2008/03/18 11:43:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 007,1653 W NORTH AVE
1412993.17173256,598593.845714733,723461,1739306A,2018/11/04 17:32:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 010,1659 W NORTH AVE
1412957.33650239,598591.581611648,723462,414594A,2009/03/13 16:09:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 011,1663 W NORTH AVE
1412943.77255313,598591.71218881,723463,1948030A,2020/10/22 16:22:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 012,1665 W NORTH AVE
1412929.43006213,598589.932664812,723464,1948033A,2020/10/22 16:22:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 013,1667 W NORTH AVE
1412915.11119314,598589.515342817,723465,1912698A,2020/07/09 15:24:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 014,1669 W NORTH AVE
1412901.17913438,598587.275189817,723466,1772203A,2019/03/20 08:23:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 015,1671 W NORTH AVE
1412863.83504897,598529.100437388,723472,1361283A,2016/03/03 15:18:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 021,1831 N MOUNT ST
1412864.30716088,598515.484322891,723473,2077236A,2022/02/06 21:39:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 022,1829 N MOUNT ST
1412870.84979872,598380.992137805,723483,731872A,2011/07/08 09:38:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 032,1809 N MOUNT ST
1412955.63112523,598384.89009589,723491,1432658A,2016/08/15 17:11:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 040,1628 WESTWOOD AVE
1413044.47937272,598478.877768815,723499,1942121A,2020/10/01 16:19:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 048,1612 WESTWOOD AVE
1413086.85789689,598492.090340808,723501,2052277A,2021/10/21 15:37:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 050,1802 N CAREY ST
1413061.43603171,598520.937067896,723502,1942122A,2020/10/01 16:20:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 051,1804 N CAREY ST
1412940.7692783,598522.560096145,723509,1720868A,2018/09/16 09:56:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 058,1824 N WOODYEAR ST
1412940.36212689,598534.542683721,723510,1450959A,2016/09/28 16:09:00+00,,,Vacant,,J,7,SANDTOWN-WINCHESTER                      ,0005 059,1826 N WOODYEAR ST
1411356.76916547,597957.341410309,723514,2218791A,2023/03/20 14:18:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 004,1706 N PAYSON ST
1411288.6721888,598129.51462239,723531,90888A,2005/10/20 09:52:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 021,2001 WESTWOOD AVE
1411229.91640081,598126.625848651,723535,289992A,2008/02/08 13:33:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 025,2009 WESTWOOD AVE
1411215.92135005,598125.914892063,723536,2262570A,2023/06/29 14:27:00+00,,,Vacant,MCC,I,7,EASTERWOOD                               ,0006 026,2011 WESTWOOD AVE
1411188.5286883,598124.658332899,723538,2084060A,2022/03/04 19:40:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 028,2015 WESTWOOD AVE
1411173.91979364,598130.448347554,723539,2106137A,2022/05/11 12:38:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 028A,2017 WESTWOOD AVE
1411158.93557164,598129.691131234,723540,1352277A,2016/02/05 13:25:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 028B,2019 WESTWOOD AVE
1411108.33855997,597918.544571891,723542,1704518A,2018/08/10 14:42:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 029A,1703 N PULASKI ST
1411107.69584472,597933.019936651,723543,453108A,2009/07/07 15:07:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 029B,1705 N PULASKI ST
1411099.32906355,598119.600272149,723556,2100108A,2022/04/23 01:01:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 029O,1731 N PULASKI ST
1411284.69713114,597954.976257563,723565,401162A,2009/01/15 07:02:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 032,2002 PRESBURY ST
1411256.65880139,597953.579934895,723567,2032818A,2021/08/27 18:06:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0006 034,2006 PRESBURY ST
1411843.73341464,597981.418461889,723578,1796436A,2019/05/28 08:38:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 004,1706 N MONROE ST
1411842.83282588,597994.943041146,723579,1629202A,2018/01/18 10:19:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 005,1708 N MONROE ST
1411841.84070189,598022.217920974,723581,2289655A,2023/08/23 16:18:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 007,1712 N MONROE ST
1411841.21373464,598035.6821329,723582,2289666A,2023/08/23 16:19:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 008,1714 N MONROE ST
1411840.59103248,598049.126659811,723583,2290069A,2023/08/23 16:21:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 009,1716 N MONROE ST
1411839.9821098,598062.410425887,723584,1994003A,2021/05/14 09:18:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 010,1718 N MONROE ST
1411839.34300347,598075.98257722,723585,234918A,2007/08/16 10:37:00+00,,,Vacant,MCC,I,7,EASTERWOOD                               ,0007 011,1720 N MONROE ST
1411836.19701239,598143.833819479,723590,1961248A,2021/01/09 20:33:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 016,1730 N MONROE ST
1411835.56249923,598157.408267394,723591,785583A,2011/12/06 10:19:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 017,1732 N MONROE ST
1411748.08334348,597949.354877725,723612,478321A,2009/08/31 17:30:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 038,1703 APPLETON ST
1411602.0317983,597957.401449561,723616,682999A,2011/03/15 14:16:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 042,1704 APPLETON ST
1411599.04952081,598023.987274393,723621,1844592A,2019/09/23 08:01:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 047,1714 APPLETON ST
1411594.18732581,598132.422096893,723629,282153A,2008/01/08 11:59:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 055,1730 APPLETON ST
1411592.91633096,598160.716987804,723631,1363458A,2016/03/11 12:26:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 057,1734 APPLETON ST
1411592.11449531,598187.461028814,723633,1539695A,2017/05/30 14:30:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 059,1738 APPLETON ST
1411497.5753143,598127.336149067,723638,1290220A,2015/09/04 14:20:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 064,1731 N PAYSON ST
1411498.27117905,598114.137356564,723639,1587435A,2017/09/25 15:54:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 065,1729 N PAYSON ST
1411501.30430947,598046.655536145,723644,1595458A,2017/10/23 10:18:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 070,1719 N PAYSON ST
1411504.36631122,597978.543467641,723649,830732A,2012/05/02 11:42:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 075,1709 N PAYSON ST
1411504.96735989,597964.837786391,723650,557289A,2010/04/29 12:47:00+00,,,Vacant,,I,7,EASTERWOOD                               ,0007 076,1707 N PAYSON ST
1412321.38009714,597963.167842224,723654,2252257A,2023/06/02 17:07:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 001,1700 N FULTON AVE
1412320.89518997,597977.656002223,723655,2148555A,2022/08/09 17:12:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 002,1702 N FULTON AVE
1412319.87386656,597991.623493984,723656,2225496A,2023/04/03 15:53:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 003,1704 N FULTON AVE
1412318.14158656,598020.47382997,723658,270413A,2008/01/04 14:28:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 005,1708 N FULTON AVE
1412317.66422531,598035.180821553,723659,302605A,2008/04/09 19:04:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 006,1710 N FULTON AVE
1412317.12387206,598049.633876637,723660,2225506A,2023/04/03 15:45:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 007,1712 N FULTON AVE
1412314.44671205,598092.35656023,723663,2224862A,2023/04/03 15:49:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 010,1718 N FULTON AVE
1412312.06023389,598149.622521818,723667,1997048A,2021/05/21 13:25:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 014,1726 N FULTON AVE
1412311.23969747,598164.191062227,723668,1614552A,2017/12/03 17:08:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 015,1728 N FULTON AVE
1412310.88536747,598192.714627221,723670,752299A,2011/08/19 15:12:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 017,1732 N FULTON AVE
1412308.89849481,598206.95606856,723671,1997053A,2021/05/21 13:25:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 018,1734 N FULTON AVE
1412308.76562105,598221.467522472,723672,228066A,2007/07/27 14:26:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 019,1736 N FULTON AVE
1412228.80711955,597958.287602648,723673,846859A,2012/06/04 16:45:00+00,,,Vacant,MCC,I,7,SANDTOWN-WINCHESTER                      ,0008 020,1701 MCKEAN AVE
1412227.58008789,597970.085151225,723674,211822A,2008/02/21 14:48:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 021,1703 MCKEAN AVE
1412227.4085003,597994.185168639,723676,470900A,2009/08/12 18:34:00+00,,,Vacant,,I,7,SANDTOWN-WINCHESTER                      ,0008 023,1707 MCKEAN AVE
